date,open,high,low,close,volume,sma_10,sma_20,sma_50,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,atr,returns,log_returns,volume_sma
2018-03-14 00:00:00-04:00,125.48999786376953,125.76000213623047,125.33999633789062,125.69999694824219,3777000,125.55199966430663,126.0504997253418,126.15940032958984,48.52116557517225,-0.18053822717828893,-0.18747083913083476,0.006932611952545825,128.0807851377546,124.020214312929,126.0504997253418,1.0067236017293926,-0.0006360457292980959,-0.0006362480921955626,6881215.0
2018-03-15 00:00:00-04:00,125.12000274658203,125.20999908447266,124.72000122070312,124.9000015258789,6130100,125.56999969482422,125.88400001525879,126.15440032958985,43.15570108078517,-0.23116054200320946,-0.19620877970530973,-0.03495176229789973,127.70769376660522,124.06030626391237,125.88400001525879,1.0048144678586548,-0.006364323323672649,-0.0063846619697597,6366900.0
2018-03-16 00:00:00-04:00,124.83999633789062,124.87000274658203,124.20999908447266,124.5999984741211,7402200,125.49099960327149,125.69499969482422,126.15000030517578,41.310842801108734,-0.2921194589777514,-0.21539091555979806,-0.07672854341795332,127.2005555210761,124.18944386857234,125.69499969482422,0.982327894540626,-0.0024019459414951205,-0.002404835241203122,6373185.0
2018-03-19 00:00:00-04:00,124.56999969482422,125.16000366210938,124.41999816894531,124.87000274658203,4335400,125.4599998474121,125.54049987792969,126.13820037841796,43.64580952688503,-0.31501149516914495,-0.23531503148166744,-0.07969646368747751,126.67244383333536,124.40855592252402,125.54049987792969,0.965019151585157,0.0021669685053569143,0.0021646240154515875,6192110.0
2018-03-20 00:00:00-04:00,124.41000366210938,124.55000305175781,123.95999908447266,124.30999755859375,3399400,125.2379997253418,125.44399986267089,126.11780029296875,40.08377943298151,-0.3740297550997127,-0.2630579762052765,-0.11097177889443621,126.64775058916666,124.24024913617512,125.44399986267089,0.9610894737654583,-0.004484705499084418,-0.0044947919586221805,5804645.0
2018-03-21 00:00:00-04:00,125.4000015258789,126.76000213623047,125.02999877929688,126.4800033569336,12532000,125.31399993896484,125.48499984741211,126.14120040893555,55.305471150742704,-0.24290080953558402,-0.259026542871338,0.016125733335753956,126.76859672193874,124.20140297288549,125.48499984741211,1.0674405526134054,0.01745640608927701,0.017305793278474,6035805.0
2018-03-22 00:00:00-04:00,126.08999633789062,126.33999633789062,125.63999938964844,125.9800033569336,5298700,125.37000045776367,125.4689998626709,126.16620040893555,52.025794515807284,-0.17728239566585557,-0.24267771343024153,0.06539531776438595,126.71910249386427,124.21889723147753,125.4689998626709,1.0511950822328162,-0.003953194075975608,-0.0039610286020946425,6033425.0
2018-03-23 00:00:00-04:00,127.81999969482422,128.05999755859375,127.61000061035156,127.61000061035156,12025900,125.57700042724609,125.54249992370606,126.21780044555663,60.29257184530982,0.006176625680424763,-0.19290684560810828,0.19908347128853304,127.0812904617264,124.00370938568572,125.54249992370606,1.1246807336204834,0.012938539529958382,0.012855551688487309,6422735.0
2018-03-26 00:00:00-04:00,128.0500030517578,128.5800018310547,128.00999450683594,128.27999877929688,6169800,125.85100021362305,125.63400001525879,126.27460037231445,63.10672111741126,0.20328908464900053,-0.11366765955668653,0.3169567442056871,127.54932168010993,123.71867835040766,125.63400001525879,1.1136321969835292,0.005250357853935794,0.005236622780197456,6571510.0
2018-03-27 00:00:00-04:00,127.2300033569336,127.62000274658203,127.05000305175781,127.48999786376953,6180700,126.02200012207031,125.75200004577637,126.28520034790039,57.89638785367011,0.29238522209344353,-0.03245708322666053,0.32484230532010405,127.8137718316407,123.69022825991205,125.75200004577637,1.121943877737496,-0.0061584106879087885,-0.006177451915059315,6526430.0
