date,open,high,low,close,volume
2018-01-02 00:00:00-05:00,148.3928414113694,150.2600749530319,148.02318684774454,150.22216796875,32573300
2018-01-03 00:00:00-05:00,150.36429010566533,151.81447405168544,150.33585626066807,151.68177795410156,29383600
2018-01-04 00:00:00-05:00,152.20312371561604,152.4021606757109,151.72920690785642,151.94720458984375,24776100
2018-01-05 00:00:00-05:00,152.6675709111186,153.57748310381623,152.383217927353,153.4732208251953,26992300
2018-01-08 00:00:00-05:00,153.4732032662687,154.14617143542628,153.41633556858056,154.07034301757812,23159100
2018-01-09 00:00:00-05:00,154.37361423464705,154.53474416981084,153.6153591192384,154.0797882080078,24782400
2018-01-10 00:00:00-05:00,153.3973598537169,153.74806805983167,152.71491862258435,153.71961975097656,34004000
2018-01-11 00:00:00-05:00,153.98502424310917,154.7812008472504,153.74806588739162,154.77171325683594,20473500
2018-01-12 00:00:00-05:00,154.63902605963855,156.07026386676313,154.43998912853863,155.9091339111328,37762700
2018-01-16 00:00:00-05:00,156.9423177111672,157.73849460861618,154.99925558591062,155.4636993408203,41231800
2018-01-17 00:00:00-05:00,156.20299605983504,157.37830058718677,155.44472621015345,157.14134216308594,33849900
2018-01-18 00:00:00-05:00,156.8949199172569,157.5299667959894,156.52526533223966,157.1697998046875,26432200
2018-01-19 00:00:00-05:00,157.63419432454305,157.91854728018592,156.90435844637778,157.66262817382812,38937600
2018-01-22 00:00:00-05:00,157.60578199317771,159.34979248046875,157.42569128125635,159.34979248046875,26081400
2018-01-23 00:00:00-05:00,159.84262588846244,160.80942001748102,159.7667974800306,160.667236328125,37989700
2018-01-24 00:00:00-05:00,161.0085086914755,161.35921700105814,158.70527970398518,159.6246795654297,54287400
2018-01-25 00:00:00-05:00,160.72413759725012,160.78100529464004,159.0559413389227,159.56777954101562,28925000
2018-01-26 00:00:00-05:00,160.4586917954988,162.03209853282203,160.14591953608752,162.0131378173828,32038200
2018-01-29 00:00:00-05:00,161.67199971570105,161.99425969976912,160.88529601615065,161.2265167236328,37277800
2018-01-30 00:00:00-05:00,159.75739735885583,160.58200817535106,159.0654827020586,159.89956665039062,44987700
2018-01-31 00:00:00-05:00,160.79999249894354,161.12226697087195,159.55833258044072,160.5630340576172,42449200
2018-02-01 00:00:00-05:00,159.33087731395108,160.8758366677798,158.6863427698606,159.19818115234375,38037900
2018-02-02 00:00:00-05:00,158.57253184425852,158.95165942184832,155.89016156758018,156.02285766601562,68478100
2018-02-05 00:00:00-05:00,154.56327981739588,157.10346770756857,149.7577550394922,149.87149047851562,105372200
2018-02-06 00:00:00-05:00,147.68196141062802,154.0324440899537,147.0090076059064,153.84288024902344,118537900
2018-02-07 00:00:00-05:00,153.34999665936536,155.01819310462832,151.8429446584872,151.85243225097656,91028300
2018-02-08 00:00:00-05:00,152.24100184145476,152.4116193805625,145.44503784179688,145.44503784179688,94184800
2018-02-09 00:00:00-05:00,147.50178627860905,149.03728577574296,142.2981916787465,147.95675659179688,113836600
2018-02-12 00:00:00-05:00,149.4733575775431,151.60598320251285,148.2980531559696,150.5823211669922,63050600
