date,open,high,low,close,volume
2018-01-02 00:00:00-05:00,235.74363172394615,236.59739372242203,235.35635657862522,236.5621795654297,86655700
2018-01-03 00:00:00-05:00,236.72935188296796,238.2080506275682,236.72935188296796,238.05841064453125,90070400
2018-01-04 00:00:00-05:00,238.70099949537035,239.5459512266381,238.12008678620776,239.0618438720703,80636400
2018-01-05 00:00:00-05:00,239.8539988745469,240.77816225162655,239.36110815870046,240.6549530029297,83524000
2018-01-08 00:00:00-05:00,240.5581013991269,241.25343986955644,240.26765851734245,241.0950164794922,57319200
2018-01-09 00:00:00-05:00,241.517510954642,242.26565732120056,241.23585142785015,241.6407470703125,57254000
2018-01-10 00:00:00-05:00,240.88378200827157,241.53512299871895,240.21487423124526,241.27105712890625,69574300
2018-01-11 00:00:00-05:00,241.82557960963317,243.03140258789062,241.65834594076944,243.03140258789062,62361500
2018-01-12 00:00:00-05:00,243.29544343228133,244.78289892979492,242.99616342156756,244.61569213867188,90816100
2018-01-16 00:00:00-05:00,245.87430929487635,246.5256233589057,243.084172029904,243.77951049804688,106555100
2018-01-17 00:00:00-05:00,244.71249925191754,246.49042451957706,243.77952564150394,246.1031494140625,113258800
2018-01-18 00:00:00-05:00,245.98879788782554,246.41126036770294,245.19662701698726,245.68954467773438,100728000
2018-01-19 00:00:00-05:00,246.27036641848483,246.80728149414062,245.68948066001104,246.80728149414062,140920100
2018-01-22 00:00:00-05:00,246.59598789964468,248.81399536132812,246.54315325626433,248.81399536132812,91322400
2018-01-23 00:00:00-05:00,248.85801011915012,249.6325601354047,248.5323531487981,249.3421173095703,97084700
2018-01-24 00:00:00-05:00,249.98472803399878,250.58326130498125,248.06597267433622,249.24539184570312,134816100
2018-01-25 00:00:00-05:00,250.10789337376553,250.20469870958607,248.558793116429,249.35093688964844,84587300
2018-01-26 00:00:00-05:00,250.1871555817258,252.28195470890776,249.93189995130047,252.23793029785156,107743100
2018-01-29 00:00:00-05:00,251.66574349874924,252.10582629863956,250.40711313758834,250.56553649902344,90118300
2018-01-30 00:00:00-05:00,248.73489584632466,250.61843695887197,247.52026257180148,247.9955596923828,131796400
2018-01-31 00:00:00-05:00,248.84928127883944,249.35095536070756,247.0449253089572,248.1187286376953,108364800
2018-02-01 00:00:00-05:00,247.38823083343112,249.139752342768,247.04495324648897,247.83709716796875,90102500
2018-02-02 00:00:00-05:00,246.5167794628597,246.6488257966521,242.4064209854564,242.44163513183594,173174800
2018-02-05 00:00:00-05:00,240.68130277048735,242.79369491479542,231.75641037059222,232.30210876464844,294681800
2018-02-06 00:00:00-05:00,228.7903023920032,237.38072927764424,227.69890538491987,236.8790283203125,355026800
2018-02-07 00:00:00-05:00,236.32448933195957,239.72191602483426,235.5147250731593,235.59396362304688,167376100
2018-02-08 00:00:00-05:00,235.89325141817721,236.03408117347925,226.72191170053435,226.7571258544922,246449500
2018-02-09 00:00:00-05:00,229.5472489990059,232.0205129539918,222.6115510503879,230.1633758544922,283565300
2018-02-12 00:00:00-05:00,232.2141689797888,235.01311709321766,230.30422392491064,233.54322814941406,143736000
2018-02-13 00:00:00-05:00,232.33739453996532,234.66982881131727,231.7564818205949,234.12413024902344,81223600
2018-02-14 00:00:00-05:00,232.63660055946704,237.64474568212884,232.62779030685115,237.28387451171875,120735700
2018-02-15 00:00:00-05:00,239.02667178606794,240.3205167977766,236.5621910272961,240.31170654296875,111200300
2018-02-16 00:00:00-05:00,239.68682926153446,242.3273274564706,239.64280484196354,240.38214111328125,160420100
2018-02-20 00:00:00-05:00,239.4315841383835,240.87506944165008,238.084931074013,238.8770751953125,86369700
2018-02-21 00:00:00-05:00,239.3170325117325,241.7991060668732,237.59191537562756,237.688720703125,98883700
2018-02-22 00:00:00-05:00,238.6129835706596,240.32929097882283,237.3279488630217,237.99685668945312,110511300
